"moist","nit","count"
0,0,0
0.101010101010101,0.202020202020202,0
0.202020202020202,0.404040404040404,0
0.303030303030303,0.606060606060606,4
0.404040404040404,0.808080808080808,0
0.505050505050505,1.01010101010101,0
0.606060606060606,1.21212121212121,0
0.707070707070707,1.41414141414141,0
0.808080808080808,1.61616161616162,0
0.909090909090909,1.81818181818182,0
1.01010101010101,2.02020202020202,0
1.11111111111111,2.22222222222222,0
1.21212121212121,2.42424242424242,0
1.31313131313131,2.62626262626263,0
1.41414141414141,2.82828282828283,0
1.51515151515152,3.03030303030303,0
1.61616161616162,3.23232323232323,0
1.71717171717172,3.43434343434343,0
1.81818181818182,3.63636363636364,0
1.91919191919192,3.83838383838384,2
2.02020202020202,4.04040404040404,6
2.12121212121212,4.24242424242424,0
2.22222222222222,4.44444444444444,0
2.32323232323232,4.64646464646465,0
2.42424242424242,4.84848484848485,0
2.52525252525253,5.05050505050505,0
2.62626262626263,5.25252525252525,0
2.72727272727273,5.45454545454545,0
2.82828282828283,5.65656565656566,1
2.92929292929293,5.85858585858586,0
3.03030303030303,6.06060606060606,0
3.13131313131313,6.26262626262626,0
3.23232323232323,6.46464646464646,0
3.33333333333333,6.66666666666667,0
3.43434343434343,6.86868686868687,5
3.53535353535354,7.07070707070707,3
3.63636363636364,7.27272727272727,3
3.73737373737374,7.47474747474747,0
3.83838383838384,7.67676767676768,7
3.93939393939394,7.87878787878788,0
4.04040404040404,8.08080808080808,3
4.14141414141414,8.28282828282828,3
4.24242424242424,8.48484848484848,1
4.34343434343434,8.68686868686869,0
4.44444444444444,8.88888888888889,0
4.54545454545454,9.09090909090909,2
4.64646464646465,9.29292929292929,0
4.74747474747475,9.49494949494949,0
4.84848484848485,9.6969696969697,1
4.94949494949495,9.8989898989899,5
5.05050505050505,10.1010101010101,0
5.15151515151515,10.3030303030303,3
5.25252525252525,10.5050505050505,0
5.35353535353535,10.7070707070707,0
5.45454545454545,10.9090909090909,0
5.55555555555556,11.1111111111111,2
5.65656565656566,11.3131313131313,3
5.75757575757576,11.5151515151515,0
5.85858585858586,11.7171717171717,0
5.95959595959596,11.9191919191919,2
6.06060606060606,12.1212121212121,0
6.16161616161616,12.3232323232323,6
6.26262626262626,12.5252525252525,3
6.36363636363636,12.7272727272727,5
6.46464646464646,12.9292929292929,0
6.56565656565657,13.1313131313131,3
6.66666666666667,13.3333333333333,1
6.76767676767677,13.5353535353535,0
6.86868686868687,13.7373737373737,5
6.96969696969697,13.9393939393939,0
7.07070707070707,14.1414141414141,4
7.17171717171717,14.3434343434343,0
7.27272727272727,14.5454545454545,6
7.37373737373737,14.7474747474747,3
7.47474747474747,14.9494949494949,3
7.57575757575758,15.1515151515152,0
7.67676767676768,15.3535353535354,0
7.77777777777778,15.5555555555556,5
7.87878787878788,15.7575757575758,0
7.97979797979798,15.959595959596,0
8.08080808080808,16.1616161616162,3
8.18181818181818,16.3636363636364,0
8.28282828282828,16.5656565656566,7
8.38383838383838,16.7676767676768,4
8.48484848484848,16.969696969697,0
8.58585858585859,17.1717171717172,3
8.68686868686869,17.3737373737374,0
8.78787878787879,17.5757575757576,6
8.88888888888889,17.7777777777778,8
8.98989898989899,17.979797979798,5
9.09090909090909,18.1818181818182,6
9.19191919191919,18.3838383838384,4
9.29292929292929,18.5858585858586,2
9.39393939393939,18.7878787878788,0
9.49494949494949,18.989898989899,0
9.5959595959596,19.1919191919192,0
9.6969696969697,19.3939393939394,2
9.7979797979798,19.5959595959596,7
9.8989898989899,19.7979797979798,0
10,20,7
